"","ID","ID.1"
"1","C26","C02"
"2","C04","C08"
"3","C29","C28"
"4","C36","C41"
"5","C20","C35"
"6","C31","C40"
"7","C04","C06"
"8","C28","C36"
"9","C29","C41"
"10","C10","C15"
"11","C19","C30"
"12","C25","C02"
"13","C26","C24"
"14","C20","C40"
"15","C31","C35"
"16","C28","C41"
"17","C29","C36"
"18","C14","C11"
"19","C37","C32"
"20","C34","C03"
"21","C39","C01"
"22","C17","C38"
"23","C12","C13"
"24","C21","C13"
"25","C26","C25"
"26","C24","C02"
"27","C31","C20"
"28","C34","C01"
"29","C39","C03"
"30","C05","C12"
"31","C22","C16"
"32","C10","C19"
"33","C30","C15"
"34","C14","C32"
"35","C37","C11"
"36","C17","C13"
"37","C21","C38"
"38","C10","C30"
"39","C19","C15"
"40","C11","C32"
"41","C14","C37"
"42","C12","C16"
"43","C22","C05"
"44","C13","C38"
"45","C21","C17"
"46","C34","C39"
"47","C05","C16"
"48","C22","C12"
"49","C10","C32"
"50","C14","C03"
"51","C34","C24"
"52","C31","C04"
"53","C40","C06"
"54","C21","C28"
"55","C37","C10"
"56","C19","C32"
"57","C14","C34"
"58","C20","C26"
"59","C40","C08"
"60","C17","C36"
"61","C19","C11"
"62","C30","C32"
"63","C37","C03"
"64","C40","C04"
"65","C17","C16"
"66","C21","C05"
"67","C37","C01"
"68","C14","C24"
"69","C25","C35"
"70","C31","C17"
"71","C39","C37"
"72","C10","C02"
"73","C24","C08"
"74","C40","C41"
"75","C29","C22"
"76","C30","C03"
"77","C39","C04"
"78","C19","C35"
"79","C25","C16"
"80","C17","C20"
"81","C12","C36"
"82","C14","C25"
"83","C12","C20"
"84","C21","C29"
"85","C10","C04"
"86","C15","C32"
"87","C14","C20"
"88","C39","C24"
"89","C34","C36"
"90","C40","C13"
"91","C31","C22"
"92","C30","C06"
"93","C11","C08"
"94","C28","C05"
"95","C26","C05"
"96","C12","C17"
"97","C12","C14"
"98","C11","C16"
"99","C39","C34"
"100","C40","C24"
"101","C31","C29"
"102","C37","C13"
"103","C28","C17"
"104","C15","C03"
"105","C30","C35"
"106","C36","C16"
