"","winner","loser"
"1","lizard048","lizard006"
"2","lizard060","lizard011"
"3","lizard023","lizard012"
"4","lizard030","lizard012"
"5","lizard083","lizard012"
"6","lizard082","lizard013"
"7","lizard003","lizard018"
"8","lizard179","lizard018"
"9","lizard053","lizard024"
"10","lizard047","lizard026"
"11","lizard040","lizard028"
"12","lizard064","lizard028"
"13","lizard020","lizard029"
"14","lizard083","lizard029"
"15","lizard176","lizard029"
"16","lizard177","lizard029"
"17","lizard005","lizard031"
"18","lizard010","lizard031"
"19","lizard033","lizard031"
"20","lizard065","lizard031"
"21","lizard073","lizard031"
"22","lizard052","lizard032"
"23","lizard073","lizard033"
"24","lizard025","lizard037"
"25","lizard033","lizard037"
"26","lizard073","lizard037"
"27","lizard023","lizard038"
"28","lizard040","lizard045"
"29","lizard177","lizard045"
"30","lizard058","lizard047"
"31","lizard096","lizard048"
"32","lizard052","lizard050"
"33","lizard040","lizard052"
"34","lizard099","lizard052"
"35","lizard177","lizard055"
"36","lizard003","lizard061"
"37","lizard170","lizard061"
"38","lizard005","lizard062"
"39","lizard028","lizard062"
"40","lizard023","lizard063"
"41","lizard005","lizard069"
"42","lizard031","lizard069"
"43","lizard048","lizard069"
"44","lizard071","lizard069"
"45","lizard073","lizard069"
"46","lizard096","lizard069"
"47","lizard102","lizard069"
"48","lizard009","lizard074"
"49","lizard167","lizard075"
"50","lizard023","lizard077"
"51","lizard099","lizard077"
"52","lizard170","lizard077"
"53","lizard038","lizard078"
"54","lizard176","lizard078"
"55","lizard045","lizard081"
"56","lizard048","lizard082"
"57","lizard096","lizard082"
"58","lizard102","lizard082"
"59","lizard045","lizard084"
"60","lizard064","lizard084"
"61","lizard099","lizard084"
"62","lizard005","lizard086"
"63","lizard073","lizard086"
"64","lizard010","lizard089"
"65","lizard013","lizard089"
"66","lizard074","lizard089"
"67","lizard073","lizard091"
"68","lizard086","lizard091"
"69","lizard174","lizard099"
"70","lizard073","lizard100"
"71","lizard074","lizard102"
"72","lizard016","lizard105"
"73","lizard099","lizard105"
"74","lizard016","lizard155"
"75","lizard177","lizard155"
"76","lizard170","lizard156"
"77","lizard016","lizard162"
"78","lizard040","lizard163"
"79","lizard064","lizard165"
"80","lizard038","lizard167"
"81","lizard176","lizard167"
"82","lizard070","lizard171"
"83","lizard016","lizard173"
"84","lizard040","lizard173"
"85","lizard083","lizard173"
"86","lizard170","lizard173"
"87","lizard070","lizard174"
"88","lizard016","lizard176"
"89","lizard176","lizard177"
"90","lizard038","lizard178"
"91","lizard066","lizard179"
"92","lizard170","lizard179"
"93","lizard003","lizard180"
"94","lizard040","lizard180"
"95","lizard177","lizard180"
"96","lizard177","lizard183"
"97","lizard045","lizard188"
"98","lizard099","lizard188"
"99","lizard040","lizard189"
"100","lizard052","lizard189"
